test,function,description,automated,parameters,expected result,begin,end
TC001,read_devices,Ningun dispositivo conectado,False,{},No se encontro ningun dispositivo,11/05/2020 16:02:07,11/05/2020 16:02:07
TC002,read_devices,Un dispositivo conectado,True,{},Serial 1 = R28M410479V-,11/05/2020 16:02:08,11/05/2020 16:02:08
TC003,read_devices,Dos o mas dispositivos conectados,False,{},?,11/05/2020 16:02:08,11/05/2020 16:02:08
TC004,read_device,Un dispositivo conectado,True,{'device_id': '1'},Serial = R28M410479V,11/05/2020 16:02:08,11/05/2020 16:02:08
TC005,read_device,Un dispositivo conectado,True,{'device_id': '10'},list index out of range,11/05/2020 16:02:08,11/05/2020 16:02:08
TC006,read_device,Ningun dispositivo conectado,False,{'device_id': '10'},No se encontro ningun dispositivo,11/05/2020 16:02:08,11/05/2020 16:02:08
TC007,adb_call,Telefono local,False,"{'seconds': '3', 'number_phone': '4269026', 'device_id': '1'}",Llamada realizada exitosamente a 4269026,11/05/2020 16:02:08,11/05/2020 16:02:08
TC008,adb_call,Telefono nacional,False,"{'seconds': '3', 'number_phone': '4494269026', 'device_id': '1'}",Llamada realizada exitosamente a 4494269026,11/05/2020 16:02:08,11/05/2020 16:02:08
TC009,adb_call,Telefono internacional,False,"{'seconds': '3', 'number_phone': '+524494269026', 'device_id': '1'}",Llamada realizada exitosamente a +524494269026,11/05/2020 16:02:08,11/05/2020 16:02:08
TC010,adb_call,Telefono con #,False,"{'seconds': '3', 'number_phone': '#321', 'device_id': '1'}",Llamada realizada exitosamente a #123,11/05/2020 16:02:08,11/05/2020 16:02:08
TC011,adb_call,Telefono con *,False,"{'seconds': '3', 'number_phone': '*321', 'device_id': '1'}",Llamada realizada exitosamente a *123,11/05/2020 16:02:08,11/05/2020 16:02:08
TC012,adb_call,Telefono vacio,False,"{'seconds': '3', 'number_phone': '', 'device_id': '1'}",Numero de telefono invalido,11/05/2020 16:02:08,11/05/2020 16:02:08
TC013,adb_call,Telefono con letras,False,"{'seconds': '3', 'number_phone': '123abc', 'device_id': '1'}",Numero de telefono invalido,11/05/2020 16:02:08,11/05/2020 16:02:08
TC014,adb_call,Telefono con simbolos raros,False,"{'seconds': '3', 'number_phone': '123!%', 'device_id': '1'}",Numero de telefono invalido,11/05/2020 16:02:08,11/05/2020 16:02:08
TC015,adb_ui_call,Telefono local,True,"{'seconds': '3', 'number_phone': '4269026', 'device_id': '1'}",Llamada realizada exitosamente a 4269026,11/05/2020 16:02:08,11/05/2020 16:02:35
TC016,adb_ui_call,Telefono nacional,True,"{'seconds': '3', 'number_phone': '4494269026', 'device_id': '1'}",Llamada realizada exitosamente a 4494269026,11/05/2020 16:02:35,11/05/2020 16:03:00
